Algorithm,Fi - D10,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
DE/best/1/bin,F2,4.16E-09,9.98E-09,8.38E-09,8.12E-09,1.37E-09,100.00,43.17
DE/best/1/bin,F6,4.86E-09,3.46E+00,1.41E-01,5.60E-01,7.83E-01,11.76,324.62
DE/best/1/bin,F1,7.24E-09,9.98E-09,9.39E-09,9.17E-09,6.83E-10,100.00,94.98
DE/best/1/bin,F7,3.94E-02,9.80E-01,1.62E-01,2.28E-01,2.08E-01,0.00,491.37
DE/best/1/bin,F14,7.00E-02,4.58E-01,2.71E-01,2.76E-01,7.58E-02,0.00,490.63
DE/best/1/bin,F9,4.97E+00,3.80E+01,1.69E+01,1.78E+01,8.70E+00,0.00,490.68
ODE/best/1/bin,F6,2.13E-09,4.58E+00,3.29E-02,6.94E-01,1.01E+00,29.41,128.98
ODE/best/1/bin,F1,4.30E-09,9.98E-09,9.26E-09,8.57E-09,1.35E-09,100.00,57.42
ODE/best/1/bin,F2,4.72E-09,9.99E-09,8.56E-09,8.18E-09,1.38E-09,100.00,29.03
ODE/best/1/bin,F7,2.21E-02,4.56E-01,1.23E-01,1.42E-01,9.67E-02,0.00,154.13
ODE/best/1/bin,F14,9.11E-02,4.81E-01,2.66E-01,2.70E-01,8.88E-02,0.00,140.53
ODE/best/1/bin,F9,6.37E+00,5.45E+01,1.90E+01,2.06E+01,1.07E+01,0.00,143.03
QODE/best/1/bin,F2,3.41E-09,9.99E-09,8.89E-09,8.49E-09,1.32E-09,100.00,56.28
QODE/best/1/bin,F1,5.40E-09,9.99E-09,9.36E-09,9.06E-09,1.05E-09,100.00,70.3
